ISIN,FY,ROE_Pct,ROCE_Pct,DebtEquity,EPS,Sales,FixedAssets,CWIP
INE14LE01019,FY25,4.67,11.06,2.3,0.49,7808.6,2178.79,15.88
INE14LE01019,FY26,12.11,13.2,2.14,1.41,8340.4,2593.55,50.08
INE055A01016,FY23,6.99,10.71,0.27,24.34,3791.95,3308.97,197.33
INE055A01016,FY24,1.27,3.23,0.63,4.56,1090.32,3002.92,81.39
INE055A01016,FY25,-4.2,-1.51,1.3,-14.24,1203.37,695.45,24.19
INE055A01016,FY26,-2.79,-4.42,1.52,,403.77,651.66,30.73
INE404A01024,FY23,23.69,31.1,0.02,20.65,1226.61,62.49,1.05
INE404A01024,FY24,24.63,31.21,0.02,27.02,1353.19,100.56,0.62
INE404A01024,FY25,24.97,32.94,0.02,32.18,1684.78,92.61,0.63
INE404A01024,FY26,24.13,30.95,0.02,33.68,1845.03,94.76,2.19
INE012A01025,FY24,14.3,17.45,0.02,124.01,19573.58,10702.86,1320.81
INE012A01025,FY25,12.95,16.94,0.03,127.57,20829.73,12680.83,2461.58
INE012A01025,FY26,10.4,10.76,0.03,113.51,25045.39,12911.33,2609.15
INE793A01012,FY23,46.93,60.6,0.05,84.9,469.36,37.4,2.19
INE793A01012,FY24,33.18,43.63,0.12,62.87,510.79,48.38,0.21
INE793A01012,FY25,46.46,52.41,0.22,86.44,528.72,70.18,0.02
INE793A01012,FY26,38.13,51.87,0.06,,532.27,25.18,0.04
INE731H01025,FY23,18.68,26.35,0.01,14.41,2157.41,501.79,28.35
INE731H01025,FY24,26.68,37.03,0.0,27.56,2909.68,640.27,80.21
INE731H01025,FY25,25.34,35.42,0.01,34.37,3327.05,816.13,117.84
INE731H01025,FY26,20.64,28.67,0.0,34.87,3280.44,811.86,48.5
INE128X01021,FY23,26.73,40.37,0.05,34.59,1439.57,1155.43,45.52
INE128X01021,FY24,18.75,24.13,0.06,25.87,1303.95,1303.41,143.81
INE128X01021,FY25,8.7,10.98,0.13,13.12,1039.44,1511.83,133.83
INE128X01021,FY26,5.52,7.11,0.24,8.65,1077.43,1719.49,336.34
INE622W01025,FY23,-0.17,7.22,4.74,-0.05,1294.4,8943.27,2312.36
INE622W01025,FY24,26.93,14.98,3.29,11.53,1318.85,9820.15,3063.66
INE622W01025,FY25,5.59,7.09,2.43,4.53,1405.13,13681.4,1367.68
INE622W01025,FY26,9.86,7.21,3.93,8.16,2022.96,20089.27,4357.66
INE00FF01025,FY23,14.02,19.18,0.01,11.43,613.06,260.24,38.47
INE00FF01025,FY24,6.35,9.86,0.32,5.83,713.01,530.21,170.16
INE00FF01025,FY25,12.12,16.81,0.01,19.81,999.97,686.94,181.96
INE931S01010,FY23,10.69,9.67,2.92,11.1,13065.07,37918.2,6970.7
INE931S01010,FY24,9.0,9.01,2.93,10.2,16355.01,41427.76,4207.91
INE931S01010,FY25,4.8,6.79,1.81,9.05,23574.95,44629.04,6783.82
INE931S01010,FY26,8.98,8.75,1.93,19.0,27202.63,50414.31,5354.18
INE423A01024,FY23,7.46,7.25,1.6,21.12,127389.65,70914.0,20472.53
INE423A01024,FY24,8.29,8.28,1.67,26.41,96316.15,84164.82,24818.25
INE423A01024,FY25,14.11,10.84,1.82,58.79,97711.08,103941.56,35772.96
INE423A01024,FY26,11.54,10.62,1.32,73.59,100267.02,133996.42,33909.18
INE364U01010,FY23,13.34,6.6,7.42,5.41,7775.0,53981.0,5724.0
INE364U01010,FY24,10.34,7.76,6.09,6.2,9220.0,69385.0,7190.0
INE364U01010,FY25,11.9,7.7,6.55,8.37,11047.0,95825.0,16002.0
INE364U01010,FY26,8.27,6.48,5.08,9.65,12326.0,122843.0,20793.0
INE742F01042,FY23,11.65,8.21,1.15,24.58,20851.91,61984.15,9636.11
INE742F01042,FY24,15.32,12.54,0.93,37.55,26710.56,69866.97,14254.03
INE742F01042,FY25,17.77,13.82,0.82,51.35,30475.33,81922.74,13350.79
INE742F01042,FY26,13.32,11.67,0.66,58.23,38735.77,118069.68,16065.7
INE814H01029,FY23,35.9,14.87,1.41,4.91,38023.03,63423.34,12879.54
INE814H01029,FY24,48.28,30.77,0.8,10.32,50051.07,63737.83,925.12
INE814H01029,FY25,22.96,20.3,0.7,6.46,56131.82,81131.47,12104.42
INE814H01029,FY26,19.76,15.45,0.84,6.62,54152.16,104129.34,35053.46
INE982B01027,FY23,13.38,16.35,0.13,5.12,444.3,135.83,6.78
INE982B01027,FY24,17.07,20.2,0.13,6.85,500.58,144.85,6.16
INE982B01027,FY25,14.06,17.06,0.12,6.3,558.01,170.94,26.26
INE982B01027,FY26,15.72,19.58,0.1,8.19,641.49,247.85,29.62
INE045A01017,FY23,18.33,23.9,0.05,43.6,771.15,115.72,13.43
INE045A01017,FY24,18.28,23.41,0.09,49.69,1067.85,175.06,40.93
INE045A01017,FY25,11.84,17.86,0.0,34.51,1117.86,194.25,8.25
INE045A01017,FY26,14.79,21.02,0.01,47.06,1132.38,198.13,4.84
INE102I01027,FY23,1.29,12.93,0.1,1.23,660.07,62.31,0.0
INE102I01027,FY24,7.16,10.32,0.13,7.29,686.74,74.84,0.0
INE102I01027,FY25,5.34,9.91,0.16,4.91,807.07,62.87,0.0
INE102I01027,FY26,5.79,7.38,0.22,6.25,967.91,50.89,0.0
INE0ALI01010,FY23,18.41,22.28,0.33,13.16,102.16,35.47,1.06
INE0ALI01010,FY24,29.79,26.39,0.81,21.45,207.19,41.93,1.07
INE0ALI01010,FY25,15.28,20.2,0.36,28.8,397.66,48.02,1.78
INE0ALI01010,FY26,18.6,24.9,0.34,,714.52,131.49,59.28
INE1B0W01010,FY23,29.38,30.42,0.5,,397.06,22.86,0.15
INE1B0W01010,FY24,32.86,30.89,0.6,,455.34,50.14,10.05
INE1B0W01010,FY25,25.42,22.41,0.8,3.99,502.26,77.01,11.25
INE1B0W01010,FY26,11.39,13.92,0.32,,637.78,104.92,22.22
INE28GN01010,FY24,9.76,-7.22,-2.35,0.0,0.0,,0.0
INE28GN01010,FY25,-34473.73,21084.84,-8.62,4.16,366.57,,0.0
INE28GN01010,FY26,6.99,7.98,0.88,11.71,387.6,1691.79,211.35
INE837H01020,FY23,8.55,11.26,0.03,9.45,540.38,288.82,15.61
INE837H01020,FY24,10.07,13.91,0.04,11.92,623.48,307.26,30.74
INE837H01020,FY25,9.23,13.07,0.03,11.71,636.51,314.63,21.69
INE837H01020,FY26,10.34,14.13,0.02,,744.95,327.0,51.17
INE208C01025,FY23,13.11,13.35,0.54,13.19,8622.15,4107.98,462.97
INE208C01025,FY24,14.62,14.83,0.68,16.22,7039.32,4852.27,729.12
INE208C01025,FY25,14.33,12.42,0.99,18.9,6569.11,6418.19,1348.19
INE208C01025,FY26,14.83,15.36,0.69,25.59,8282.66,7142.83,798.6
INE0INX01018,FY23,-0.01,4.21,2.49,0.0,353.33,3219.03,202.37
INE0INX01018,FY24,8.68,6.8,3.28,0.78,561.76,4117.7,640.78
INE0INX01018,FY25,14.93,8.52,2.99,1.81,789.21,5689.06,656.47
INE0INX01018,FY26,7.24,6.4,0.87,2.85,923.08,7610.37,974.87
INE947N01017,FY23,-35.47,-5.39,2.64,-1.51,791.47,605.08,6.66
INE947N01017,FY24,-1.33,3.68,0.86,-0.17,941.19,774.35,188.16
INE947N01017,FY25,-14.28,-2.34,1.1,-1.56,924.61,907.05,405.24
INE947N01017,FY26,-7.62,0.95,0.47,-1.87,1230.44,1125.21,78.66
INE065D01027,FY23,16.38,17.67,0.4,3.98,464.81,107.87,1.57
INE065D01027,FY24,39.78,47.98,0.1,24.25,500.62,144.27,5.9
INE065D01027,FY25,7.58,15.65,0.04,4.7,578.54,242.18,9.84
INE065D01027,FY26,7.77,13.36,0.05,,697.83,304.35,23.1
INE024001021,FY23,26.43,27.79,0.39,2.33,262.72,56.19,0.64
INE024001021,FY24,14.24,20.2,0.0,3.23,311.59,87.75,5.38
INE024001021,FY25,15.33,20.49,0.0,4.06,366.59,179.5,9.84
INE024001021,FY26,12.41,16.44,0.02,4.28,423.27,234.35,23.1
INE05TO01019,FY23,6.23,7.0,2.38,1.69,1301.94,103.43,1.6
INE05TO01019,FY24,9.76,8.91,2.5,2.94,1524.16,99.35,1.7
INE05TO01019,FY25,16.04,12.84,2.07,,1983.57,94.3,1.7
INE0BWX01014,FY23,10.48,14.18,0.01,10.47,651.07,701.24,55.63
INE0BWX01014,FY24,4.0,5.23,0.09,6.31,598.17,1081.62,228.72
INE0BWX01014,FY25,7.12,9.31,0.09,11.94,840.55,1491.28,374.79
INE0BWX01014,FY26,8.94,10.61,0.19,16.53,1160.14,2001.01,506.11
INE101I01011,FY23,12.94,18.84,0.51,11.17,12539.32,2702.85,205.39
INE101I01011,FY24,12.51,17.79,0.7,12.23,13194.37,2866.96,83.91
INE101I01011,FY25,9.25,15.4,0.45,13.24,12503.76,2797.21,59.92
INE101I01011,FY26,4.61,10.01,0.67,6.82,11888.02,3410.8,912.47
INE00WC01027,FY23,16.69,18.32,0.07,18.36,1433.44,5.53,0.0
INE00WC01027,FY24,11.9,12.72,0.07,21.91,1842.08,9.96,0.0
INE00WC01027,FY25,12.96,15.86,0.03,27.19,2266.31,8.24,0.0
INE00WC01027,FY26,12.45,15.38,0.0,32.32,2709.31,7.18,0.0
INE00ZE01026,FY23,8.5,6.22,0.53,14.84,1130.37,13.19,0.0
INE00ZE01026,FY24,9.59,7.37,1.0,17.74,1337.05,13.52,0.0
INE00ZE01026,FY25,9.49,10.0,0.78,21.44,3280.68,14.98,0.0
INE00ZE01026,FY26,7.71,8.09,0.6,,23873.57,26.51,0.0
INE204E01012,FY23,22.85,21.6,0.39,63.78,2015.01,343.51,7.45
INE204E01012,FY24,21.37,16.96,0.71,73.02,2125.3,583.96,0.1
INE204E01012,FY25,18.45,15.52,0.69,77.34,2398.93,700.89,15.55
INE204E01012,FY26,6.32,8.04,0.5,,1652.23,722.38,30.95
INE943P01029,FY23,14.95,10.46,1.36,2.98,1016.48,903.71,100.32
INE943P01029,FY24,6.2,10.24,0.72,2.63,1327.67,1137.14,116.37
INE943P01029,FY25,4.47,9.5,0.51,2.78,1711.0,1498.48,158.02
INE943P01029,FY26,6.58,10.97,0.53,4.18,2080.08,1960.93,234.36
INE415A01038,FY23,16.29,15.41,0.46,40.44,2256.48,1530.44,155.54
INE415A01038,FY24,13.85,17.53,0.34,38.85,2400.07,1615.54,127.5
INE415A01038,FY25,15.37,19.3,0.26,49.83,2528.82,1658.53,120.73
INE415A01038,FY26,14.61,19.4,0.1,54.35,2665.32,1746.18,195.25
INE976R01033,FY23,27.91,26.34,0.28,3.94,241.11,32.44,0.0
INE976R01033,FY24,23.19,20.14,0.61,4.26,292.33,55.1,0.0
INE976R01033,FY25,22.61,20.08,0.47,5.46,324.87,84.61,0.0
INE976R01033,FY26,20.41,17.05,0.4,,352.54,82.44,0.0
INE0Y8W01025,FY23,78.92,13.88,9.54,0.11,112.88,25.74,0.0
INE0Y8W01025,FY24,45.92,13.52,3.86,0.18,66.58,27.3,0.0
INE0Y8W01025,FY25,25.51,20.82,0.83,0.39,120.29,22.82,0.0
INE0Y8W01025,FY26,12.38,16.89,0.19,0.61,171.97,57.71,0.0
INE758C01029,FY23,15.79,21.95,0.05,28.96,2805.09,184.18,1.28
INE758C01029,FY24,23.43,31.39,0.07,55.95,3855.3,254.23,9.39
INE758C01029,FY25,11.24,17.66,0.04,30.17,4098.62,371.89,6.89
INE758C01029,FY26,12.91,19.21,0.04,,4565.2,548.83,6.45
INE915K01010,FY23,-26.36,13.37,-7.74,27.84,318.91,829.3,1.8
INE915K01010,FY24,-4.68,16.04,-8.44,4.73,399.74,797.07,3.37
INE915K01010,FY25,-51.02,13.46,-11.73,34.16,410.51,775.97,2.92
INE915K01010,FY26,-483.65,16.86,-61.99,,400.24,768.29,0.26
INE212H01026,FY23,18.55,22.31,0.09,111.95,4851.79,1087.09,107.44
INE212H01026,FY24,17.06,21.3,0.07,120.4,4783.49,1225.08,137.93
INE212H01026,FY25,15.31,18.73,0.07,113.14,4226.62,1256.31,104.41
INE212H01026,FY26,15.83,20.26,0.0,136.11,4355.48,1223.97,15.89
INE206F01022,FY23,125.98,94.18,0.44,50.68,431.24,135.0,0.0
INE206F01022,FY24,41.42,37.39,0.11,50.46,2239.39,6.81,0.0
INE206F01022,FY25,28.87,25.62,0.07,249.72,4578.34,92.69,0.0
INE206F01022,FY26,13.11,12.76,0.1,61.61,2608.8,256.33,0.0
INE031B01049,FY23,17.35,21.94,0.01,45.89,3707.52,1698.16,209.47
INE031B01049,FY24,22.88,31.12,0.01,64.77,4161.59,1728.86,264.33
INE031B01049,FY25,24.28,31.53,0.01,73.53,4587.51,1900.45,184.94
INE031B01049,FY26,23.33,29.11,0.06,84.51,5407.26,2120.51,295.14
INE274Y01021,FY23,19.04,25.31,0.02,11.88,1149.77,171.52,7.68
INE274Y01021,FY24,24.53,32.82,0.01,19.58,1739.58,185.93,20.58
INE274Y01021,FY25,22.48,26.51,0.0,22.61,2073.92,197.06,22.47
INE274Y01021,FY26,16.17,21.63,0.0,19.55,2102.54,215.86,34.98
INE298G01035,FY23,9.24,8.19,1.09,4.05,431.1,26.91,0.0
INE298G01035,FY24,11.88,12.38,0.93,5.79,699.96,29.49,0.0
INE298G01035,FY25,10.44,12.89,0.56,6.8,738.01,35.16,0.0
INE298G01035,FY26,10.71,14.31,0.51,7.61,1090.35,63.84,0.0
INE09XN01023,FY23,13.23,14.69,0.86,6.03,3474.76,1212.31,122.8
INE09XN01023,FY24,-0.57,0.39,0.8,-0.28,4019.68,1390.67,208.57
INE09XN01023,FY25,11.1,11.98,0.03,22.6,4071.09,1563.65,173.47
INE09XN01023,FY26,7.7,13.43,0.06,16.67,4251.31,1649.52,201.27
INE426A01027,FY23,9.17,4.2,0.0,7.42,118.34,131.96,0.13
INE426A01027,FY24,12.29,4.73,0.0,10.46,147.12,131.64,1.1
INE426A01027,FY25,13.28,6.71,0.01,12.1,211.18,135.33,0.0
INE426A01027,FY26,12.98,6.15,0.0,12.36,229.97,171.45,1.5
INE598D01035,FY23,-9.97,-7.57,0.89,-0.2,14.65,1.73,0.0
INE598D01035,FY24,35.67,24.43,0.94,0.87,127.92,12.87,0.0
INE598D01035,FY25,31.59,32.32,0.34,1.13,42.94,13.99,0.0
INE598D01035,FY26,24.84,28.77,0.25,1.19,41.33,12.96,0.0
INE062D01024,FY23,10.54,11.7,0.62,31.92,1336.86,388.17,21.9
INE062D01024,FY24,11.05,13.49,0.6,37.76,1496.42,456.92,29.62
INE062D01024,FY25,7.76,11.12,0.62,28.12,1720.36,535.42,64.27
INE062D01024,FY26,5.48,9.15,0.56,,1775.73,576.25,58.31
INE03Q201024,FY23,21.84,29.16,0.01,38.11,2047.84,825.52,50.63
INE03Q201024,FY24,20.19,26.94,0.01,38.38,2184.77,904.78,109.77
INE03Q201024,FY25,17.24,22.84,0.02,39.52,2386.88,1045.72,103.05
INE03Q201024,FY26,16.94,22.33,0.02,45.9,2551.83,1291.38,273.4
INE540L01014,FY23,10.88,13.39,0.15,82.31,11440.35,2513.55,310.27
INE540L01014,FY24,17.41,18.06,0.14,150.19,12439.24,2595.51,186.87
INE540L01014,FY25,18.07,19.56,0.12,181.11,12804.62,2931.87,545.69
INE540L01014,FY26,16.66,18.82,0.15,192.51,14532.34,3345.63,255.0
INE150B01039,FY23,19.56,24.77,0.08,44.68,1656.89,1067.59,352.01
INE150B01039,FY24,11.75,16.24,0.0,29.09,1419.0,1121.06,35.57
INE150B01039,FY25,13.27,17.7,0.0,36.35,1548.2,1093.29,51.91
INE150B01039,FY26,11.74,15.91,0.0,35.15,1511.88,1142.7,130.48
INE418H01029,FY23,22.37,24.29,0.42,6.41,18015.25,804.64,4.24
INE418H01029,FY24,5.94,6.68,0.73,1.52,12941.39,1273.11,32.17
INE418H01029,FY25,2.68,1.97,0.84,0.43,1961.0,1234.71,8.35
INE418H01029,FY26,1.39,5.05,1.21,,2058.0,652.0,1.0
INE835G01018,FY23,21.27,24.93,0.19,32.06,390.45,54.61,0.0
INE835G01018,FY24,26.07,30.85,0.18,42.0,469.37,63.15,0.0
INE835G01018,FY25,32.1,35.51,0.24,54.66,546.31,88.68,1.79
INE835G01018,FY26,32.76,24.93,0.68,53.96,598.68,197.76,1.01
INE0GV601021,FY23,17.93,15.85,1.14,4.32,441.61,242.44,11.98
INE0GV601021,FY24,22.18,22.38,0.73,6.84,511.11,267.63,35.28
INE0GV601021,FY25,19.01,16.72,0.9,7.22,558.17,364.87,28.19
INE0GV601021,FY26,5.77,9.05,0.14,5.79,610.53,449.97,41.56
INE270A01029,FY23,4.66,-8.01,-1.27,-1.77,6900.87,5366.42,47.18
INE270A01029,FY24,4.28,-12.99,-1.14,-1.71,5421.49,5068.04,58.35
INE270A01029,FY25,3.96,-28.15,-1.09,-1.64,3627.58,4654.77,92.86
INE270A01029,FY26,3.46,-43.63,-1.05,-1.5,3644.07,4617.12,125.42
INE121R01077,FY23,-49.85,-46.69,0.04,-14.85,680.56,44.16,6.02
INE121R01077,FY24,-49.32,-44.02,0.06,-11.32,879.16,48.33,0.0
INE121R01077,FY25,-13.49,-8.57,0.07,-3.18,1162.64,48.01,0.0
INE121R01077,FY26,4.08,5.22,0.02,,1505.61,54.24,0.0
INE084K01015,FY23,-3.36,13.39,3.4,-0.54,257.53,237.83,0.24
INE084K01015,FY24,5.48,14.19,3.02,0.94,278.44,229.21,1.08
INE084K01015,FY25,10.89,14.76,2.0,2.7,274.71,233.59,17.37
INE084K01015,FY26,6.75,9.01,1.11,4.33,287.68,288.01,81.52
INE371P01015,FY23,8.24,9.4,0.76,46.66,6746.19,1851.77,62.67
INE371P01015,FY24,6.44,9.55,0.75,39.41,6530.75,2191.0,99.08
INE371P01015,FY25,10.66,13.32,0.9,71.67,9973.02,2506.95,238.72
INE371P01015,FY26,4.06,8.78,0.62,50.28,12186.48,3682.43,500.31
INE540G01014,FY23,13.7,19.45,0.0,195.45,817.08,215.02,0.01
INE540G01014,FY24,7.33,11.08,0.1,110.0,801.54,236.93,4.66
INE540G01014,FY25,7.27,11.25,0.06,114.83,702.07,249.06,10.2
INE540G01014,FY26,7.5,11.41,0.0,,780.95,290.78,4.79
INE079A01024,FY24,8.62,14.64,0.02,16.65,32529.79,23403.4,2658.45
INE079A01024,FY25,8.03,11.62,0.01,17.51,33654.07,42168.28,11317.74
INE079A01024,FY26,7.97,5.85,0.01,19.05,39969.4,53750.93,10124.19
INE275D01022,FY23,12.52,15.11,0.46,4.16,597.29,84.54,4.75
INE275D01022,FY24,18.1,21.86,0.39,7.24,647.01,82.98,2.98
INE275D01022,FY25,15.85,19.27,0.3,7.45,660.73,80.83,0.38
INE275D01022,FY26,12.5,17.16,0.09,6.64,571.03,75.84,0.09
INE098F01031,FY23,13.7,18.42,0.0,13.63,378.23,47.71,1.28
INE098F01031,FY24,15.59,21.4,0.01,15.5,420.12,49.58,2.38
INE098F01031,FY25,15.56,21.1,0.01,17.58,451.82,79.75,32.02
INE098F01031,FY26,15.64,20.99,0.0,,502.55,155.29,105.48
INE463V01026,FY23,35.97,46.01,0.08,10.07,548.63,110.93,0.0
INE463V01026,FY24,34.67,44.55,0.08,13.51,724.32,132.87,0.82
INE463V01026,FY25,44.49,55.22,0.12,18.08,939.09,172.85,0.0
INE463V01026,FY26,39.66,51.0,0.08,23.58,1148.82,180.67,0.0
INE242C01024,FY23,5.35,5.84,0.38,4.66,956.94,231.15,181.87
INE242C01024,FY24,7.27,8.21,0.17,8.12,1483.3,218.64,147.61
INE242C01024,FY25,10.23,10.8,0.12,12.43,2059.97,339.51,223.78
INE242C01024,FY26,9.62,10.42,0.12,15.81,2511.6,481.92,202.3
INE435A01051,FY23,33.02,43.35,0.03,26.27,2083.06,641.08,66.54
INE435A01051,FY24,17.95,22.95,0.06,17.09,1783.26,939.23,145.59
INE435A01051,FY25,4.58,5.95,0.15,4.47,1522.27,1091.81,69.12
INE435A01051,FY26,0.96,1.96,0.12,,1692.98,1307.09,307.36
INE715B01021,FY23,12.07,15.89,0.02,13.72,2356.38,944.49,138.64
INE715B01021,FY24,4.74,4.3,0.02,5.54,1890.93,998.04,185.58
INE715B01021,FY25,1.63,2.47,0.01,1.91,2019.69,1010.76,58.91
INE715B01021,FY26,4.98,7.28,0.0,,2466.0,972.37,41.96
INE732I01021,FY23,41.17,42.76,0.36,10.51,2473.19,211.66,61.52
INE732I01021,FY24,37.04,29.06,0.84,13.18,3397.04,356.28,0.0
INE732I01021,FY25,20.85,20.37,0.61,12.68,4247.6,450.41,0.0
INE732I01021,FY26,14.96,11.91,1.3,9.85,4305.41,448.09,0.64
INE818A01017,FY23,8.57,11.18,0.01,20.29,117.94,178.82,0.16
INE818A01017,FY24,8.31,11.76,0.01,21.47,165.6,300.76,0.26
INE818A01017,FY25,15.02,20.18,0.01,19.98,258.08,336.05,0.2
INE818A01017,FY26,13.67,18.24,0.01,25.35,278.88,587.61,210.26
INE0CZ201020,FY23,22.13,27.08,0.07,6.86,1056.92,634.33,194.52
INE0CZ201020,FY24,19.08,22.49,0.12,6.54,1419.37,837.71,361.43
INE0CZ201020,FY25,18.73,26.43,0.05,8.04,1844.55,1007.43,306.2
INE0CZ201020,FY26,19.45,26.83,0.02,10.43,2124.33,1066.45,283.66
INE489G01022,FY23,15.0,19.7,0.0,3.61,527.49,53.25,0.58
INE489G01022,FY24,20.62,26.76,0.01,5.99,647.0,49.24,0.45
INE489G01022,FY25,14.52,18.29,0.03,2.36,661.51,60.38,2.28
INE489G01022,FY26,11.65,15.53,0.0,4.1,771.66,56.15,0.06
INE294Z01018,FY23,11.75,14.85,0.08,25.84,404.05,287.71,87.03
INE294Z01018,FY24,19.58,21.49,0.04,51.85,540.37,315.05,15.5
INE294Z01018,FY25,19.33,22.5,0.05,59.04,728.8,353.94,14.19
INE294Z01018,FY26,15.98,18.42,0.16,,829.59,381.62,2.84
INE930P01018,FY23,7.62,11.16,0.35,17.4,1562.86,1429.76,150.11
INE930P01018,FY24,4.66,8.39,0.39,11.87,1442.58,2090.81,734.02
INE930P01018,FY25,3.28,7.08,0.49,8.5,1402.33,2410.03,371.66
INE372A01015,FY23,28.52,39.4,0.17,166.64,14257.84,1105.99,156.62
